UNIQUE_id,UNIQUE_num_records,ELIGIBLE_consent,CONNECTION_social_days_friends_p7d_grouped,LONELY_direct
cscs_00911,1,Yes,Most days (4 - 6 days),"None of the time (e.g., 0 days)"
cscs_00912,1,Yes,NA,NA
cscs_00913,1,Yes,Some days (1 - 3 days),NA
cscs_00914,1,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00915,1,Yes,Most days (4 - 6 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00916,1,Yes,Every day (7 days),NA
cscs_00917,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00918,1,Yes,Most days (4 - 6 days),NA
cscs_00919,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_00920,1,Yes,NA,NA
cscs_00921,1,Yes,Some days (1 - 3 days),NA
cscs_00922,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00923,1,Yes,NA,NA
cscs_00924,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00925,1,Yes,Most days (4 - 6 days),"None of the time (e.g., 0 days)"
cscs_00926,1,Yes,Every day (7 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00927,1,Yes,Most days (4 - 6 days),NA
cscs_00928,1,Yes,Every day (7 days),Rarely (e.g. less than 1 day)
cscs_00929,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00930,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_00931,1,Yes,NA,NA
cscs_00932,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_00933,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_00935,1,Yes,NA,NA
cscs_00936,1,Yes,NA,Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00937,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00938,1,Yes,NA,NA
cscs_00939,1,Yes,NA,NA
cscs_00940,1,Yes,NA,NA
cscs_00941,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00942,1,Yes,None (0 Days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00943,1,Yes,NA,NA
cscs_00944,1,Yes,Some days (1 - 3 days),NA
cscs_00945,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00946,1,Yes,NA,NA
cscs_00947,1,Yes,NA,NA
cscs_00948,1,Yes,Every day (7 days),"None of the time (e.g., 0 days)"
cscs_00949,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00951,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00952,1,Yes,Every day (7 days),Rarely (e.g. less than 1 day)
cscs_00953,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00955,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_00959,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00960,1,Yes,Every day (7 days),Rarely (e.g. less than 1 day)
cscs_00961,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00962,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00963,1,Yes,Every day (7 days),Some or a little of the time (e.g. 1-2 days)
cscs_00964,1,Yes,Some days (1 - 3 days),All of the time (e.g. 5-7 days)]
cscs_00965,1,Yes,Most days (4 - 6 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00966,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_00967,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_00968,1,Yes,NA,NA
cscs_00969,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_00970,1,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00971,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_00972,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00973,1,Yes,None (0 Days),NA
cscs_00974,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00975,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00977,1,Yes,NA,NA
cscs_00978,1,Yes,Most days (4 - 6 days),"None of the time (e.g., 0 days)"
cscs_00979,1,Yes,NA,"None of the time (e.g., 0 days)"
cscs_00980,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00981,1,Yes,None (0 Days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00982,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00983,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00984,1,Yes,Every day (7 days),Some or a little of the time (e.g. 1-2 days)
cscs_00985,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_00986,1,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00987,1,Yes,NA,All of the time (e.g. 5-7 days)]
cscs_00988,1,Yes,None (0 Days),Rarely (e.g. less than 1 day)
cscs_00990,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00991,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00992,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00993,1,Yes,None (0 Days),All of the time (e.g. 5-7 days)]
cscs_00994,1,Yes,NA,NA
cscs_00995,1,Yes,Most days (4 - 6 days),"None of the time (e.g., 0 days)"
cscs_00996,1,Yes,NA,NA
cscs_00997,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00998,1,Yes,NA,NA
cscs_00999,1,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01000,1,Yes,NA,NA
cscs_01002,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_01003,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_01004,1,Yes,NA,NA
cscs_01005,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_01006,1,Yes,Some days (1 - 3 days),NA
cscs_01007,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_01008,1,Yes,None (0 Days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01009,1,Yes,None (0 Days),All of the time (e.g. 5-7 days)]
cscs_01012,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_01013,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_01014,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_01015,1,Yes,NA,NA
cscs_01016,1,Yes,NA,NA
cscs_01017,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_01018,1,Yes,Every day (7 days),"None of the time (e.g., 0 days)"
cscs_01019,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_01020,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_01021,1,Yes,NA,NA
cscs_01022,2,Yes,Every day (7 days),"None of the time (e.g., 0 days)"
cscs_01022,2,Yes,None (0 Days),"None of the time (e.g., 0 days)"
cscs_01023,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_01024,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_01025,1,Yes,NA,NA
cscs_01026,1,Yes,NA,"None of the time (e.g., 0 days)"
cscs_01028,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_01029,1,Yes,None (0 Days),"None of the time (e.g., 0 days)"
cscs_01030,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_01031,1,Yes,NA,NA
cscs_01032,1,Yes,Most days (4 - 6 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01033,1,Yes,Most days (4 - 6 days),NA
cscs_01034,3,Yes,Every day (7 days),"None of the time (e.g., 0 days)"
cscs_01034,3,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_01034,3,Yes,Every day (7 days),Some or a little of the time (e.g. 1-2 days)
cscs_01036,1,Yes,None (0 Days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01037,3,Yes,Most days (4 - 6 days),"None of the time (e.g., 0 days)"
cscs_01037,3,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_01038,1,Yes,Every day (7 days),"None of the time (e.g., 0 days)"
cscs_01039,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_01040,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_01041,1,Yes,NA,NA
cscs_01042,1,Yes,Every day (7 days),Rarely (e.g. less than 1 day)
cscs_01044,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_01045,3,Yes,None (0 Days),All of the time (e.g. 5-7 days)]
cscs_01045,3,Yes,None (0 Days),"None of the time (e.g., 0 days)"
cscs_01045,3,Yes,None (0 Days),All of the time (e.g. 5-7 days)]
cscs_01046,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_01047,1,Yes,NA,Presented but no response
cscs_01048,1,Yes,Every day (7 days),Rarely (e.g. less than 1 day)
cscs_01049,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_01052,1,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01053,1,Yes,None (0 Days),Rarely (e.g. less than 1 day)
cscs_01054,1,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01055,2,Yes,Most days (4 - 6 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01055,2,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01056,1,Yes,NA,NA
cscs_01057,1,Yes,NA,NA
cscs_01058,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_01059,1,Yes,None (0 Days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01060,1,Yes,NA,NA
cscs_01061,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_01063,1,Yes,NA,NA
cscs_01064,1,Yes,None (0 Days),Rarely (e.g. less than 1 day)
cscs_01066,1,Yes,NA,NA
cscs_01067,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_01068,1,Yes,Some days (1 - 3 days),All of the time (e.g. 5-7 days)]
cscs_01069,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_01070,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_01071,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_01072,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_01073,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_01074,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_01075,1,Yes,Every day (7 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01076,1,Yes,NA,NA
cscs_01077,1,Yes,None (0 Days),"None of the time (e.g., 0 days)"
cscs_01078,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_01079,1,Yes,NA,NA
cscs_01080,1,Yes,NA,NA
cscs_01081,1,Yes,Every day (7 days),"None of the time (e.g., 0 days)"
cscs_01082,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_01083,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_01084,2,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_01085,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_01086,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_01087,1,Yes,None (0 Days),"None of the time (e.g., 0 days)"
cscs_01088,3,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01088,3,Yes,Every day (7 days),Rarely (e.g. less than 1 day)
cscs_01088,3,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_01089,1,Yes,Some days (1 - 3 days),NA
cscs_01090,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_01091,1,Yes,Most days (4 - 6 days),"None of the time (e.g., 0 days)"
cscs_01092,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_01093,1,Yes,NA,NA
cscs_01095,1,Yes,NA,NA
cscs_01096,1,Yes,NA,NA
cscs_01097,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_01098,1,Yes,NA,NA
cscs_01099,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_01101,1,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01102,1,Yes,Every day (7 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01103,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_01104,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_01105,1,Yes,NA,NA
cscs_01106,1,Yes,None (0 Days),NA
cscs_01107,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_01109,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_01110,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_01111,1,Yes,None (0 Days),All of the time (e.g. 5-7 days)]
cscs_01112,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_01113,1,Yes,Most days (4 - 6 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01114,1,Yes,Every day (7 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01115,1,Yes,None (0 Days),All of the time (e.g. 5-7 days)]
cscs_01117,1,Yes,Every day (7 days),"None of the time (e.g., 0 days)"
cscs_01118,1,Yes,NA,NA
cscs_01119,1,Yes,None (0 Days),Some or a little of the time (e.g. 1-2 days)
cscs_01120,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_01121,1,Yes,NA,NA
cscs_01122,1,Yes,Every day (7 days),Rarely (e.g. less than 1 day)
cscs_01123,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_01124,1,Yes,NA,Presented but no response
cscs_01125,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_01127,1,Yes,Most days (4 - 6 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01128,1,Yes,NA,NA
cscs_01129,1,Yes,NA,NA
cscs_01130,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_01131,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_01132,1,Yes,NA,NA
cscs_01133,1,Yes,NA,NA
cscs_01134,1,Yes,Most days (4 - 6 days),NA
cscs_01135,1,Yes,NA,NA
cscs_01136,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_01137,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_01138,1,Yes,None (0 Days),NA
cscs_01139,1,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01140,1,Yes,None (0 Days),All of the time (e.g. 5-7 days)]
cscs_01141,3,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_01141,3,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_01141,3,Yes,NA,NA
cscs_01142,1,Yes,NA,NA
cscs_01143,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_01144,1,Yes,NA,NA
cscs_01145,3,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01145,3,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01145,3,Yes,None (0 Days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01146,1,Yes,None (0 Days),Some or a little of the time (e.g. 1-2 days)
cscs_01147,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_01148,2,Yes,Most days (4 - 6 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01148,2,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01149,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_01150,1,Yes,None (0 Days),All of the time (e.g. 5-7 days)]
cscs_01151,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_01152,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_01153,1,Yes,NA,NA
cscs_01154,1,Yes,NA,NA
cscs_01155,1,Yes,NA,NA
cscs_01157,1,Yes,Most days (4 - 6 days),"None of the time (e.g., 0 days)"
cscs_01158,1,Yes,None (0 Days),All of the time (e.g. 5-7 days)]
cscs_01159,1,Yes,Every day (7 days),Rarely (e.g. less than 1 day)
cscs_01160,1,Yes,NA,NA
cscs_01161,3,Yes,None (0 Days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01161,3,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_01161,3,Yes,None (0 Days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01162,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_01163,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_01164,1,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01165,1,Yes,NA,NA
cscs_01166,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_01168,1,Yes,Every day (7 days),Rarely (e.g. less than 1 day)
cscs_01169,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_01170,1,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01171,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_01173,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_01174,1,Yes,NA,NA
cscs_01175,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_01176,1,Yes,NA,NA
cscs_01177,1,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01178,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_01179,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_01180,1,Yes,NA,NA
cscs_01181,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_01182,1,Yes,Every day (7 days),Some or a little of the time (e.g. 1-2 days)
cscs_01183,1,Yes,Some days (1 - 3 days),All of the time (e.g. 5-7 days)]
cscs_01184,1,Yes,None (0 Days),Rarely (e.g. less than 1 day)
cscs_01185,1,Yes,Some days (1 - 3 days),NA
cscs_01186,1,Yes,Some days (1 - 3 days),All of the time (e.g. 5-7 days)]
cscs_01187,1,Yes,NA,NA
cscs_01188,1,Yes,None (0 Days),"None of the time (e.g., 0 days)"
cscs_01189,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_01190,1,Yes,Some days (1 - 3 days),NA
cscs_01191,1,Yes,Some days (1 - 3 days),All of the time (e.g. 5-7 days)]
cscs_01192,1,Yes,NA,NA
cscs_01193,1,Yes,NA,NA
cscs_01195,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_01196,1,Yes,Some days (1 - 3 days),All of the time (e.g. 5-7 days)]
cscs_01197,1,Yes,Most days (4 - 6 days),Presented but no response
cscs_01198,1,Yes,Every day (7 days),Rarely (e.g. less than 1 day)
cscs_01199,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_01200,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_01201,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_01202,1,Yes,NA,NA
cscs_01203,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_01204,4,Yes,Every day (7 days),"None of the time (e.g., 0 days)"
cscs_01204,4,Yes,Most days (4 - 6 days),"None of the time (e.g., 0 days)"
cscs_01204,4,Yes,Every day (7 days),"None of the time (e.g., 0 days)"
cscs_01204,4,Yes,Most days (4 - 6 days),"None of the time (e.g., 0 days)"
cscs_01205,1,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01206,1,Yes,NA,NA
cscs_01207,1,Yes,None (0 Days),Some or a little of the time (e.g. 1-2 days)
cscs_01208,1,Yes,Some days (1 - 3 days),Presented but no response
cscs_01209,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_01210,1,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01211,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_01212,2,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_01212,2,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_01213,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_01214,2,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01214,2,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_01215,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_01216,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_01217,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_01218,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_01219,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_01220,1,Yes,NA,NA
cscs_01221,1,Yes,NA,NA
cscs_01222,1,Yes,NA,NA
cscs_01223,1,Yes,None (0 Days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01224,1,Yes,NA,NA
cscs_01225,1,Yes,Most days (4 - 6 days),"None of the time (e.g., 0 days)"
cscs_01226,1,Yes,NA,NA
cscs_01227,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_01228,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_01229,1,Yes,NA,NA
cscs_01230,1,Yes,Some days (1 - 3 days),All of the time (e.g. 5-7 days)]
cscs_01232,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_01233,1,Yes,None (0 Days),"None of the time (e.g., 0 days)"
cscs_01234,1,Yes,Every day (7 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01235,1,Yes,Some days (1 - 3 days),All of the time (e.g. 5-7 days)]
cscs_01236,1,Yes,NA,NA
cscs_01237,1,Yes,Every day (7 days),Rarely (e.g. less than 1 day)
cscs_01238,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_01239,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_01241,1,Yes,NA,NA
cscs_01242,1,Yes,NA,NA
cscs_01243,1,Yes,Most days (4 - 6 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01244,1,Yes,NA,NA
cscs_01245,1,Yes,None (0 Days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01246,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_01247,1,Yes,NA,NA
cscs_01248,1,Yes,None (0 Days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01249,1,Yes,NA,NA
cscs_01250,1,Yes,None (0 Days),"None of the time (e.g., 0 days)"
cscs_01251,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_01252,1,Yes,NA,NA
cscs_01253,1,Yes,None (0 Days),"None of the time (e.g., 0 days)"
cscs_01254,1,Yes,Every day (7 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01255,1,Yes,NA,NA
cscs_01256,1,Yes,NA,NA
cscs_01257,3,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01257,3,Yes,Every day (7 days),Some or a little of the time (e.g. 1-2 days)
cscs_01257,3,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_01258,1,Yes,None (0 Days),Some or a little of the time (e.g. 1-2 days)
cscs_01259,1,Yes,NA,NA
cscs_01260,1,Yes,None (0 Days),"None of the time (e.g., 0 days)"
cscs_01261,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_01263,1,Yes,None (0 Days),Presented but no response
cscs_01264,1,Yes,NA,NA
cscs_01265,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_01267,1,Yes,NA,NA
cscs_01268,1,Yes,Most days (4 - 6 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_01269,1,Yes,NA,NA
cscs_01270,1,Yes,None (0 Days),Rarely (e.g. less than 1 day)
cscs_01271,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_01272,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_01273,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_01274,1,Yes,None (0 Days),Some or a little of the time (e.g. 1-2 days)
cscs_01275,1,Yes,NA,NA
cscs_01276,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_01277,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_01278,1,Yes,NA,NA
cscs_01279,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_01280,1,Yes,NA,NA
cscs_01281,1,Yes,Most days (4 - 6 days),All of the time (e.g. 5-7 days)]
cscs_01282,1,Yes,None (0 Days),"None of the time (e.g., 0 days)"
cscs_01283,1,Yes,Every day (7 days),Rarely (e.g. less than 1 day)
cscs_01284,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_01285,3,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_01285,3,Yes,None (0 Days),Some or a little of the time (e.g. 1-2 days)
cscs_01285,3,Yes,None (0 Days),Rarely (e.g. less than 1 day)
cscs_01286,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_01288,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_01290,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_01291,1,Yes,Some days (1 - 3 days),All of the time (e.g. 5-7 days)]
cscs_01292,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_01293,1,Yes,NA,NA
cscs_01294,1,Yes,Every day (7 days),Some or a little of the time (e.g. 1-2 days)
